style_cd,style_category,style_description,diamond_wt,metal_typ,metal_wt,metal_amt,diamond_qty,diamond_qlty,total_diamond_wt,cstone_qty,cstone_wt,cstone_shape,metal_color,metal_size,gender,ring_type,chain_type,is_set,combined_text,earring_type,stud_subtype,setting,diameter,hoop_subtype,collection,image_url,original_row_count,hash,visual_id,unsure,source
AK0001SS-50-S,ANKLET,1/6 CTTW HANSA ANKLET,0.1488,SILV,1.1,7.25,34,IJI2I3,0.1488,0,0,,W,10,LADIES,,,FALSE,1/6 CTTW HANSA ANKLET,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/anklets/AK0001SS-50-S.jpg,6,,anklets/AK0001SS-50-S.jpg,FALSE,SUMIT
AK0002SS-50-S,ANKLET,1/3 CTTW 3 STAR ANKLET,0.3168,SILV,2.44,3.17,66,IJI2I3,0.3168,0,0,,W,10,LADIES,,,FALSE,1/3 CTTW 3 STAR ANKLET,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/anklets/AK0002SS-50-S.jpg,4,,anklets/AK0002SS-50-S.jpg,FALSE,SUMIT
AK0003SS-50-S,ANKLET,1/6 CTTW ANGEL ANKLET,0.165,SILV,1.47,6.71,33,IJI2I3,0.165,0,0,,W,10,LADIES,,,FALSE,1/6 CTTW ANGEL ANKLET,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/anklets/AK0003SS-50-S.jpg,7,,,TRUE,SUMIT
AK0004SS-50-S,ANKLET,1/10 CTTW ANCHOR ANKLET,0.0988,SILV,1,6.13,26,IJI2I3,0.0988,0,0,,W,10,LADIES,,,FALSE,1/10 CTTW ANCHOR ANKLET,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/anklets/AK0004SS-50-S.jpg,5,,,TRUE,SUMIT
AK0005SS-50-S,ANKLET,1/20 CTTW LOVE ANKLET,0.0602,SILV,1.5,1.95,14,IJI2I3,0.0602,0,0,,W,10,LADIES,,,FALSE,1/20 CTTW LOVE ANKLET,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/anklets/AK0005SS-50-S.jpg,8,,,TRUE,SUMIT
AK0006SS-50-S,ANKLET,1/10 CTTW HEART ANKLET,0.1,SILV,0.7,5.91,20,IJI2I3,0.1,0,0,,W,10,LADIES,,,FALSE,1/10 CTTW HEART ANKLET,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/anklets/AK0006SS-50-S.jpg,8,,,TRUE,SUMIT
AK0007SS-50-S,ANKLET,1/3 CTTW 3 CIRCLE ANKLET,0.318,SILV,1.39,6.57,60,IJI2I3,0.318,0,0,,W,10,LADIES,,,FALSE,1/3 CTTW 3 CIRCLE ANKLET,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/anklets/AK0007SS-50-S.jpg,10,,,TRUE,SUMIT
AK0008SS-50-S,ANKLET,1/6 CTTW CIRCLE ANKLET,0.16,SILV,0.5,5.65,32,IJI2I3,0.16,0,0,,W,10,LADIES,,,FALSE,1/6 CTTW CIRCLE ANKLET,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/anklets/AK0008SS-50-S.jpg,11,,,TRUE,SUMIT
AK0009SS-50-S,ANKLET,1/4 CTTW 2 ROW BAZEL ANKLET,0.2499,SILV,1.2,11.36,7,IJI2I3,0.2499,0,0,,W,10,LADIES,,,FALSE,1/4 CTTW 2 ROW BAZEL ANKLET,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/anklets/AK0009SS-50-S.jpg,11,,,TRUE,SUMIT
AK0010SS-50-S,ANKLET,1/10 CTTW  2 ROW HEARTS ANKLET,0.1092,SILV,1.36,11.58,21,IJI2I3,0.1092,0,0,,W,10,LADIES,,,FALSE,1/10 CTTW  2 ROW HEARTS ANKLET,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/anklets/AK0010SS-50-S.jpg,15,,anklets/AK0010SS-50-S.jpg,FALSE,SUMIT
